STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-01-2021,13.42,,0,,,69,56,220,220,23,27.1,,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-01-2021,13.87,,0,,,57,48,320,320,23,28,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-01-2021,7.83,,0,,,56,47,330,320,19.9,23,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-01-2021,6.49,,0,,,68,44,200,210,15,17,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-01-2021,5.82,,0,,,61,52,20,20,21,21.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-01-2021,12.3,,0,,,62,51,100,120,18.1,23,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-01-2021,22.15,,0.97,,,64,50,300,310,32,36.9,1,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-01-2021,21.25,,0,,,51,43,340,340,29.1,33.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-01-2021,15.66,,0,,,51,41,340,340,23.9,29.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-01-2021,15.66,,0.13,,,45,40,50,40,29.1,33.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-01-2021,18.12,,0.48,,,46,41,50,50,33.1,36.9,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-01-2021,9.17,,0,,,44,38,330,340,17,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-01-2021,4.47,,0,,,55,39,230,200,8.9,12.1,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-01-2021,10.51,,0,,,70,39,220,230,23.9,30,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-01-2021,14.99,,0,,,58,50,290,280,25.9,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-01-2021,10.96,,0,,,54,46,270,280,23.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-01-2021,6.26,,0,,,61,39,250,250,14.1,16.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-01-2021,6.26,,0,,,64,42,280,120,13,15,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-01-2021,8.28,,0,,,75,50,160,160,21.9,25.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-01-2021,6.71,,0,,,68,52,160,150,12.1,14.1,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-01-2021,10.51,,0,,,73,59,220,230,16.1,19,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-01-2021,6.26,,0.56,,,67,58,210,210,17,21.9,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-01-2021,11.41,,0.06,,,63,58,80,90,19.9,23.9,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-01-2021,9.4,,0,,,77,60,100,100,15,19.9,1,1,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-01-2021,14.09,,0,,,79,67,210,190,28,36,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-01-2021,9.84,,0.03,,,73,61,10,360,21,25.1,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-01-2021,15.21,,0.16,,,73,53,340,340,29.1,34,1,1,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-01-2021,16.78,,0,,,58,44,360,360,30,34,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-01-2021,10.07,,0,,,59,46,60,60,18.1,21,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-01-2021,10.74,,0,,,72,50,180,190,21.9,27.1,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-01-2021,20.13,,0.03,,,71,53,340,340,36,40.9,1,,,1
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-02-2021,23.94,,0,,,58,45,340,350,35.1,38.9,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-02-2021,14.09,,0,,,55,42,10,360,23.9,30,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-02-2021,8.95,,0,,,58,43,20,20,19.9,21.9,,,,
