STATION,NAME,DATE,AWND,PRCP,TMIN,TMAX
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-01-2021,13.42,0,56,69
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-01-2021,13.87,0,48,57
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-01-2021,7.83,0,47,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-01-2021,6.49,0,44,68
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-01-2021,5.82,0,52,61
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-01-2021,12.3,0,51,62
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-01-2021,22.15,0.97,50,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-01-2021,21.25,0,43,51
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-01-2021,15.66,0,41,51
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-01-2021,15.66,0.13,40,45
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-01-2021,18.12,0.48,41,46
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-01-2021,9.17,0,38,44
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-01-2021,4.47,0,39,55
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-01-2021,10.51,0,39,70
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-01-2021,14.99,0,50,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-01-2021,10.96,0,46,54
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-01-2021,6.26,0,39,61
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-01-2021,6.26,0,42,64
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-01-2021,8.28,0,50,75
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-01-2021,6.71,0,52,68
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-01-2021,10.51,0,59,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-01-2021,6.26,0.56,58,67
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-01-2021,11.41,0.06,58,63
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-01-2021,9.4,0,60,77
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-01-2021,14.09,0,67,79
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-01-2021,9.84,0.03,61,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-01-2021,15.21,0.16,53,73
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-01-2021,16.78,0,44,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-01-2021,10.07,0,46,59
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-01-2021,10.74,0,50,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-01-2021,20.13,0.03,53,71
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-02-2021,23.94,0,45,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-02-2021,14.09,0,42,55
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-02-2021,8.95,0,43,58
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-02-2021,12.75,0,47,72
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-02-2021,15.88,0.12,50,66
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-02-2021,12.3,0.08,51,56
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-02-2021,10.96,0,49,59
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-02-2021,14.09,0,50,66
