,country,f_0-14,f_0-4,f_15-24,f_15plus,f_18plus,f_25-34,f_35-44,f_45-54,f_5-14,f_55-64,f_65plus,f_all,m_0-14,m_0-4,m_15-24,m_15plus,m_18plus,m_25-34,m_35-44,m_45-54,m_5-14,m_55-64,m_65plus,m_all
0,AD,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
1,AE,0,0,0,24,1,4,5,5,0,2,8,24,4,2,5,51,0,16,6,8,1,4,12,54
2,AF,7100,2700,7800,31086,2100,6300,4900,3900,4300,3600,3900,38000,7500,3300,6500,30500,2000,5600,5200,4300,4200,3800,4600,37000
3,AG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2
4,AI,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
5,AL,2,0,18,114,3,20,9,14,2,18,29,110,4,0,58,439,11,58,49,40,4,43,72,320
6,AM,5,3,23,168,8,36,38,9,2,28,26,170,35,28,45,666,24,82,75,100,7,110,70,520
7,AO,7800,3500,9700,41700,1600,9100,8500,5500,4400,3800,3100,47000,8500,4200,13000,71000,2500,14000,13000,8600,4300,6000,4300,68000
8,AR,570,230,1400,6140,260,1200,910,700,340,570,590,5900,610,280,1700,10100,370,1700,1300,1000,330,1000,860,8100
9,AS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
10,AT,9,5,15,176,2,34,18,17,5,21,37,150,5,3,36,394,6,46,41,45,1,47,68,290
11,AU,21,7,160,956,21,270,140,98,14,71,100,870,17,7,170,1145,29,250,160,79,10,110,200,980
12,AW,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,,0,0,1,0,0,0,1
13,AZ,170,77,470,1996,120,460,280,230,94,250,190,2100,180,93,940,5060,200,820,550,560,92,530,280,3800
14,BA,2,0,43,380,10,45,26,43,2,41,120,330,0,0,60,724,19,43,72,96,0,100,160,530
15,BB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,2,0,0,0,0,7
16,BD,14000,5600,22000,147040,7300,27000,28000,29000,8800,23000,16000,160000,15000,6700,17000,230600,10000,24000,27000,34000,8600,38000,44000,200000
17,BE,22,10,51,353,5,80,51,32,12,28,47,310,33,15,110,759,16,130,92,90,18,44,89,580
18,BF,390,190,500,3157,91,700,720,490,200,370,320,3500,420,230,790,6840,220,1400,1400,940,190,650,500,6100
19,BG,52,21,20,490,14,65,84,64,31,64,100,450,56,26,28,1150,34,88,180,170,30,170,160,850
20,BH,0,0,7,77,3,31,16,10,0,7,5,76,2,2,6,169,7,54,39,25,0,14,6,150
21,BI,560,270,690,4387,92,1100,910,550,280,470,390,4600,610,330,1000,9360,160,1800,1600,1100,280,910,630,7700
22,BJ,320,150,440,2328,84,500,480,320,170,230,260,2600,340,180,630,4840,140,850,880,640,170,420,360,4100
23,BM,0,0,0,1,,1,0,0,0,0,0,1,0,0,0,2,,1,0,0,0,0,1,2
24,BN,1,0,9,133,6,12,17,34,1,29,33,140,0,0,17,278,9,40,40,39,0,37,52,230
25,BO,520,240,1000,4560,190,940,570,460,280,490,700,4700,570,290,1800,8300,250,1400,960,840,270,870,1100,7500
26,BR,2100,970,5500,33100,1500,6200,5700,4700,1200,4000,3800,32000,2300,1200,11000,78200,2700,15000,12000,9900,1100,7700,6600,64000
27,BS,0,0,1,13,0,1,3,5,0,2,0,13,0,0,2,29,1,5,7,5,0,3,1,23
28,BT,29,4,260,628,33,180,85,53,25,22,26,650,15,4,160,642,33,170,73,78,11,47,66,620
29,BW,260,120,270,2041,95,390,480,290,130,230,270,2200,280,150,380,4350,120,720,800,500,130,330,370,3400
30,BY,39,19,58,828,25,120,140,110,20,89,180,740,42,23,67,2740,64,210,410,440,20,370,180,1700
31,BZ,1,1,7,38,2,7,7,12,0,1,2,38,1,1,8,64,2,11,13,7,0,9,5,55
