,title,artist,last_wk,peak_pos,wks_on_chart
0,About Damn Time,Lizzo,2,1,14
1,As It Was,Harry Styles,1,1,16
2,Running Up That Hill (A Deal With God),Kate Bush,4,3,28
3,First Class,Jack Harlow,3,1,15
4,Wait For U,Future Featuring Drake & Tems,5,1,12
5,Me Porto Bonito,Bad Bunny & Chencho Corleone,6,6,11
6,Break My Soul,Beyonce,9,7,5
7,Heat Waves,Glass Animals,7,1,79
8,Late Night Talking,Harry Styles,11,4,9
9,Jimmy Cooks,Drake Featuring 21 Savage,8,1,5
10,Big Energy,Latto,10,3,39
11,I Like You (A Happier Song),Post Malone Featuring Doja Cat,14,9,7
12,Wasted On You,Morgan Wallen,12,9,36
13,Bad Habit,Steve Lacy,50,14,3
14,Titi Me Pregunto,Bad Bunny,13,5,11
15,Sunroof,Nicky Youre & dazy,17,16,8
16,The Kind Of Love We Make,Luke Combs,19,13,5
17,Stay,The Kid LAROI & Justin Bieber,15,1,54
18,Glimpse Of Us,Joji,16,8,6
19,Numb Little Bug,Em Beihold,18,18,25
20,Ghost,Justin Bieber,21,5,43
21,Get Into It (Yuh),Doja Cat,20,20,33
22,You Proof,Morgan Wallen,22,6,10
23,Moscow Mule,Bad Bunny,27,4,11
24,Bad Habits,Ed Sheeran,24,2,56
25,She Had Me At Heads Carolina,Cole Swindell,25,25,8
26,I Ain't Worried,OneRepublic,31,27,6
27,Shivers,Ed Sheeran,33,4,45
28,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,7,46
29,Boyfriend,Dove Cameron,23,16,23
30,Vegas,Doja Cat,32,31,7
31,Sticky,Drake,28,6,5
32,Something In The Orange,Zach Bryan,30,30,13
33,In A Minute,Lil Baby,43,14,15
34,Fall In Love,Bailey Zimmerman,37,35,12
35,Hot Shit,"Cardi B, Ye & Lil Durk",34,13,3
36,Like I Love Country Music,Kane Brown,26,26,9
37,Enemy,Imagine Dragons X JID,36,5,35
38,Damn Strait,Scotty McCreery,38,38,16
39,Woman,Doja Cat,40,7,51
40,Provenza,Karol G,39,25,13
41,Rock And A Hard Place,Bailey Zimmerman,49,24,6
42,Super Gremlin,Kodak Black,41,3,37
43,Thats What I Want,Lil Nas X,44,8,44
44,Efecto,Bad Bunny,47,34,11
45,Take My Name,Parmalee,45,22,16
46,Thousand Miles,The Kid LAROI,46,15,13
47,What Happened To Virgil,Lil Durk Featuring Gunna,53,22,19
48,Sweetest Pie,Megan Thee Stallion & Dua Lipa,54,15,19
49,Master Of Puppets,Metallica,35,35,3
50,Left And Right,Charlie Puth Featuring Jung Kook,51,22,4
51,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,55,47,8
52,2step,Ed Sheeran Featuring Lil Baby,48,48,13
53,5 Foot 9,Tyler Hubbard,57,54,6
54,Cooped Up,Post Malone Featuring Roddy Ricch,60,12,10
55,Despues de La Playa,Bad Bunny,56,6,11
56,Party,Bad Bunny & Rauw Alejandro,59,14,11
57,Last Night Lonely,Jon Pardi,63,58,8
58,Ojitos Lindos,Bad Bunny & Bomba Estereo,61,26,11
59,Trouble With A Heartbreak,Jason Aldean,58,32,18
60,Son Of A Sinner,Jelly Roll,72,61,3
61,So Good,Halsey,65,55,6
62,Betty (Get Money),Yung Gravy,68,63,2
63,Puffin On Zootiez,Future,62,4,12
64,Wishful Drinking,Ingrid Andress With Sam Hunt,69,65,3
65,F.N.F. (Let's Go),Hitkidd & Glorilla,78,66,8
66,Tarot,Bad Bunny & Jhay Cortez,71,18,11
67,Flower Shops,ERNEST Featuring Morgan Wallen,73,64,26
68,Numb,Marshmello & Khalid,76,69,3
69,Massive,Drake,64,14,5
70,New Truck,Dylan Scott,81,71,6
71,Last Last,Burna Boy,86,72,2
72,Love Me More,Sam Smith,79,73,7
73,Silent Hill,Kendrick Lamar & Kodak Black,75,7,10
74,Whiskey On You,Nate Smith,83,75,5
75,Hotel Lobby (Unc And Phew),Quavo & Takeoff,77,59,9
76,See Wat I'm Sayin,Moneybagg Yo,-,59,2
77,Unstoppable,Sia,90,78,3
78,Wild As Her,Corey Kent,82,79,5
79,7500 OBO,Tim McGraw,66,66,8
80,Thought You Should Know,Morgan Wallen,89,12,11
81,Ghost Story,Carrie Underwood,96,61,9
82,Best Thing Since Backroads,Jake Owen,-,83,2
83,2 Be Loved (Am I Ready),Lizzo,-,84,1
84,Truth About You,Mitchell Tenpenny,-,85,1
85,Bones,Imagine Dragons,-,86,9
86,She Likes It,Russell Dickerson & Jake Scott,92,63,16
87,Plan B,Megan Thee Stallion,94,29,8
88,All Mine,Brent Faiyaz,42,42,2
89,Free Mind,Tems,-,90,1
90,Un Ratito,Bad Bunny,95,16,11
91,Until I Found You,Stephen Sanchez,-,92,3
92,Bam Bam,Camila Cabello Featuring Ed Sheeran,85,21,20
93,At The End Of A Bar,Chris Young With Mitchell Tenpenny,-,94,1
94,Te Felicito,Shakira & Rauw Alejandro,100,67,7
95,Arson,j-hope,-,96,1
96,Right On,Lil Baby,-,13,14
97,Cash In Cash Out,"Pharrell Williams Featuring 21 Savage & Tyler, The Creator",99,26,6
98,La Corriente,Bad Bunny & Tony Dize,-,32,8
99,Pick Me Up,Gabby Barrett,-,100,1
