Year,Tournament,Winner
2022,Australian Open,Rafael Nadal
2021,U.S. Open,Daniil Medvedev
2021,Wimbledon,Novak Djokovic
2021,French Open,Novak Djokovic
2021,Australian Open,Novak Djokovic
2020,French Open,Rafael Nadal
2020,U.S. Open,Dominic Thiem
2020,Australian Open,Novak Djokovic
2019,U.S. Open,Rafael Nadal
2019,Wimbledon,Novak Djokovic
2019,French Open,Rafael Nadal
2019,Australian Open,Novak Djokovic
2018,U.S. Open,Novak Djokovic
2018,Wimbledon,Novak Djokovic
2018,French Open,Rafael Nadal
2018,Australian Open,Roger Federer
2017,U.S. Open,Rafael Nadal
2017,Wimbledon,Roger Federer
2017,French Open,Rafael Nadal
2017,Australian Open,Roger Federer
2016,U.S. Open,Stan Wawrinka
2016,Wimbledon,Andy Murray
2016,French Open,Novak Djokovic
2016,Australian Open,Novak Djokovic
2015,U.S. Open,Novak Djokovic
2015,Wimbledon,Novak Djokovic
2015,French Open,Stan Wawrinka
2015,Australian Open,Novak Djokovic
2014,U.S. Open,Marin Cilic
2014,Wimbledon,Novak Djokovic
2014,French Open,Rafael Nadal
2014,Australian Open,Stan Wawrinka
2013,U.S. Open,Rafael Nadal
2013,Wimbledon,Andy Murray
2013,French Open,Rafael Nadal
2013,Australian Open,Novak Djokovic
2012,U.S. Open,Andy Murray
2012,Wimbledon,Roger Federer
2012,French Open,Rafael Nadal
2012,Australian Open,Novak Djokovic
2011,U.S. Open,Novak Djokovic
2011,Wimbledon,Novak Djokovic
2011,French Open,Rafael Nadal
2011,Australian Open,Novak Djokovic
2010,U.S. Open,Rafael Nadal
2010,Wimbledon,Rafael Nadal
2010,French Open,Rafael Nadal
2010,Australian Open,Roger Federer
2009,U.S. Open,Juan Martin del Potro
2009,Wimbledon,Roger Federer
2009,French Open,Roger Federer
2009,Australian Open,Rafael Nadal
2008,U.S. Open,Roger Federer
2008,Wimbledon,Rafael Nadal
2008,French Open,Rafael Nadal
2008,Australian Open,Novak Djokovic
2007,U.S. Open,Roger Federer
2007,Wimbledon,Roger Federer
2007,French Open,Rafael Nadal
2007,Australian Open,Roger Federer
2006,U.S. Open,Roger Federer
2006,Wimbledon,Roger Federer
2006,French Open,Rafael Nadal
2006,Australian Open,Roger Federer
2005,U.S. Open,Roger Federer
2005,Wimbledon,Roger Federer
2005,French Open,Rafael Nadal
2005,Australian Open,Marat Safin
2004,U.S. Open,Roger Federer
2004,Wimbledon,Roger Federer
2004,French Open,Gaston Gaudio
2004,Australian Open,Roger Federer
2003,U.S. Open,Andy Roddick
2003,Wimbledon,Roger Federer
2003,French Open,Juan Carlos Ferrero
2003,Australian Open,Andre Agassi
2002,U.S. Open,Pete Sampras
2002,Wimbledon,Lleyton Hewitt
2002,French Open,Albert Costa
2002,Australian Open,Thomas Johannson
2001,U.S. Open,Lleyton Hewitt
2001,Wimbledon,Goran Ivanisevic
2001,French Open,Gustavo Kuerten
2001,Australian Open,Andre Agassi
2000,U.S. Open,Marat Safin
2000,Wimbledon,Pete Sampras
2000,French Open,Gustavo Kuerten
2000,Australian Open,Andre Agassi
