Year,Tournament,Winner
2022,Australian Open,Ashleigh Barty
2021,U.S. Open,Emma Raducanu
2021,Wimbledon,Ashleigh Barty
2021,French Open,Barbora Krejcikova
2021,Australian Open,Naomi Osaka
2020,French Open,Iga Swiatek
2020,U.S. Open,Naomi Osaka
2020,Australian Open,Sofia Kenin
2019,U.S. Open,Bianca Andreescu
2019,Wimbledon,Simona Halep
2019,French Open,Ashleigh Barty
2019,Australian Open,Naomi Osaka
2018,U.S. Open,Naomi Osaka
2018,Wimbledon,Angelique Kerber
2018,French Open,Simona Halep
2018,Australian Open,Caroline Wozniacki
2017,U.S. Open,Sloane Stephens
2017,Wimbledon,Garbine Muguruza
2017,French Open,Jelena Ostapenko
2017,Australian Open,Serena Williams
2016,U.S. Open,Angelique Kerber
2016,Wimbledon,Serena Williams
2016,French Open,Garbine Muguruza
2016,Australian Open,Angelique Kerber
2015,U.S. Open,Flavia Pennetta
2015,Wimbledon,Serena Williams
2015,French Open,Serena Williams
2015,Australian Open,Serena Williams
2014,U.S. Open,Serena Williams
2014,Wimbledon,Petra Kvitova
2014,French Open,Maria Sharapova
2014,Australian Open,Li Na
2013,U.S. Open,Serena Williams
2013,Wimbledon,Marion Bartoli
2013,French Open,Serena Williams
2013,Australian Open,Victoria Azarenka
2012,U.S. Open,Serena Williams
2012,Wimbledon,Serena Williams
2012,French Open,Maria Sharapova
2012,Australian Open,Victoria Azarenka
2011,U.S. Open,Samantha Stosur
2011,Wimbledon,Petra Kvitova
2011,French Open,Li Na
2011,Australian Open,Kim Clijsters
2010,U.S. Open,Kim Clijsters
2010,Wimbledon,Serena Williams
2010,French Open,Francesca Schiavone
2010,Australian Open,Serena Williams
2009,U.S. Open,Kim Clijsters
2009,Wimbledon,Serena Williams
2009,French Open,Svetlana Kuznetsova
2009,Australian Open,Serena Williams
2008,U.S. Open,Serena Williams
2008,Wimbledon,Venus Williams
2008,French Open,Ana Ivanovic
2008,Australian Open,Maria Sharapova
2007,U.S. Open,Justine Henin
2007,Wimbledon,Venus Williams
2007,French Open,Justine Henin
2007,Australian Open,Serena Williams
2006,U.S. Open,Maria Sharapova
2006,Wimbledon,Amelie Mauresmo
2006,French Open,Justine Henin-Hardenne
2006,Australian Open,Amelie Mauresmo
2005,U.S. Open,Kim Clijsters
2005,Wimbledon,Venus Williams
2005,French Open,Justine Henin-Hardenne
2005,Australian Open,Serena Williams
2004,U.S. Open,Svetlana Kuznetsova
2004,Wimbledon,Maria Sharapova
2004,French Open,Anastasia Myskina
2004,Australian Open,Justine Henin-Hardenne
2003,U.S. Open,Justine Henin-Hardenne
2003,Wimbledon,Serena Williams
2003,French Open,Justine Henin-Hardenne
2003,Australian Open,Serena Williams
2002,U.S. Open,Serena Williams
2002,Wimbledon,Serena Williams
2002,French Open,Serena Williams
2002,Australian Open,Jennifer Capriati
2001,U.S. Open,Venus Williams
2001,Wimbledon,Venus Williams
2001,French Open,Jennifer Capriati
2001,Australian Open,Jennifer Capriati
2000,U.S. Open,Venus Williams
2000,Wimbledon,Venus Williams
2000,French Open,Mary Pierce
2000,Australian Open,Lindsay Davenport
